hero_id,slot,source_technique_id,name_en,name_vi,channel,ability_kind,trigger_type,is_signature,rage_cost,rage_gain,cooldown_ms,cast_time_ms,impact_ms,recovery_ms,target_selector,effect_profile_id,special_mechanic,cinematic_mode,animation_key,vfx_key,sfx_key,voice_line,description_en,description_vi,canon_source,canon_confidence,counterplay,balance_status,review_status,research_note
naruto-six-paths,BASIC,basic-chakra-palm,Six Paths Chakra Strike,Đòn Chakra Lục Đạo,CHAKRA,BASIC,BASIC_AUTO,false,0,15,0,0,100,160,FRONTMOST_ENEMY,basic-chakra-palm,Six Paths chakra-infused basic pressure,NONE,skills/naruto-six-paths/basic/animation,skills/naruto-six-paths/basic/vfx,skills/naruto-six-paths/basic/sfx,,Strike with Six Paths chakra and gain Rage.,Tấn công bằng chakra Lục Đạo và nhận Nộ.,Narutopedia Naruto Uzumaki Six Paths Sage Mode,HIGH_CANON_FIT,Standard basic-attack counterplay.,EXPERIMENTAL,READY_DESIGN,High-tier visual identity without making Basic a pseudo-Ultimate.
naruto-six-paths,SKILL_1,six-paths-barrage,Sage Art: Super Tailed Beast Rasenshuriken,Tiên Pháp: Siêu Vĩ Thú Rasenshuriken,CHAKRA,RAGE_SKILL,RAGE_FULL,true,100,0,0,900,1500,950,ALL_ENEMIES,six-paths-barrage,Nine tailed-beast chakra variations delivered as a cinematic multi-hit barrage,MINI_CINEMATIC,skills/naruto-six-paths/skill_1/animation,skills/naruto-six-paths/skill_1/vfx,skills/naruto-six-paths/skill_1/sfx,Everyone lend me your power!,Create multiple tailed-beast chakra Rasenshuriken and bombard all enemies for massive multi-element damage.,Tạo nhiều Rasenshuriken mang chakra Vĩ Thú và oanh kích toàn bộ kẻ địch bằng sát thương đa thuộc tính cực lớn.,Narutopedia Sage Art Super Tailed Beast Rasenshuriken,HIGH_CANON_FIT,Long windup; damage is distributed across multiple hits and can be mitigated by shields/team defense.,EXPERIMENTAL,READY_DESIGN,Version-defining Six Paths climax.
naruto-six-paths,SKILL_2,truth-seeking-orbs,Truth-Seeking Orbs,Cầu Đạo Ngọc,CHAKRA,ACTIVE_SKILL,COOLDOWN,false,0,0,8000,300,550,500,ALL_ENEMIES,truth-seeking-orbs,Area pressure with temporary defense reduction,NONE,skills/naruto-six-paths/skill_2/animation,skills/naruto-six-paths/skill_2/vfx,skills/naruto-six-paths/skill_2/sfx,,Shape Truth-Seeking Orbs into a sweeping attack that pressures the enemy team.,Biến Cầu Đạo Ngọc thành đòn quét gây áp lực lên toàn đội địch.,Narutopedia Naruto Uzumaki Six Paths Senjutsu Truth-Seeking Balls,HIGH_CANON_FIT,Long cooldown and cleanseable defense debuff.,EXPERIMENTAL,READY_DESIGN,Exclusive War-arc Six Paths identity.
naruto-six-paths,SKILL_3,kurama-claw,Kurama Chakra Claw,Vuốt Chakra Kurama,CHAKRA,ACTIVE_SKILL,COOLDOWN,false,0,0,6000,150,450,400,LOWEST_HP_ENEMY,kurama-claw,Fast reach attack with execute pressure,NONE,skills/naruto-six-paths/skill_3/animation,skills/naruto-six-paths/skill_3/vfx,skills/naruto-six-paths/skill_3/sfx,,Extend Kurama chakra to strike a weakened enemy from range.,Kéo dài chakra Kurama để đánh kẻ địch đang suy yếu từ xa.,Narutopedia Naruto Uzumaki Kurama chakra arms/HIGH_LEVEL_FORM,HIGH_CANON_FIT,Lower coefficient than Rage Skill and vulnerable to mitigation.,EXPERIMENTAL,READY_DESIGN,Fast utility damage distinct from the team-wide climax.
naruto-six-paths,PASSIVE,passive-jinchuriki,Six Paths Perception,Cảm Nhận Lục Đạo,CHAKRA,PASSIVE,BATTLE_START,false,0,0,0,0,0,0,SELF,passive-jinchuriki,Accuracy control resistance and limited ally support,NONE,skills/naruto-six-paths/passive/animation,skills/naruto-six-paths/passive/vfx,skills/naruto-six-paths/passive/sfx,,Gain enhanced sensing and a modest team resistance bonus at battle start.,Nhận cảm nhận tăng cường và tăng nhẹ kháng hiệu ứng cho đội khi bắt đầu trận.,Narutopedia Naruto Uzumaki Six Paths sensing/Hagoromo power,HIGH_CANON_FIT,Team bonus intentionally modest and non-stacking with itself.,EXPERIMENTAL,READY_DESIGN,High-tier perception/support identity.
naruto-hokage,BASIC,basic-chakra-palm,Hokage Chakra Strike,Đòn Chakra Hokage,CHAKRA,BASIC,BASIC_AUTO,false,0,15,0,0,100,165,FRONTMOST_ENEMY,basic-chakra-palm,Adult close-range chakra control,NONE,skills/naruto-hokage/basic/animation,skills/naruto-hokage/basic/vfx,skills/naruto-hokage/basic/sfx,,Strike with refined adult chakra control and gain Rage.,Tấn công bằng khả năng điều khiển chakra thuần thục và nhận Nộ.,Narutopedia Naruto Uzumaki adult combat,HIGH_CANON_FIT,Standard basic-attack counterplay.,EXPERIMENTAL,READY_DESIGN,Adult Naruto uses refined fundamentals rather than obsolete Truth-Seeking Ball basics.
naruto-hokage,SKILL_1,tailed-beast-bomb,Tailed Beast Bomb,Vĩ Thú Ngọc,CHAKRA,RAGE_SKILL,RAGE_FULL,true,100,0,0,850,1400,900,ALL_ENEMIES,tailed-beast-bomb,Large Kurama avatar artillery burst,MINI_CINEMATIC,skills/naruto-hokage/skill_1/animation,skills/naruto-hokage/skill_1/vfx,skills/naruto-hokage/skill_1/sfx,Kurama!,Manifest Kurama's power and fire a Tailed Beast Bomb across the enemy formation.,Giải phóng sức mạnh Kurama và bắn Vĩ Thú Ngọc vào đội hình địch.,Narutopedia Naruto Uzumaki Tailed Beast Mode; adult retains Kurama partnership,HIGH_CANON_FIT,Long telegraph and team shields can absorb part of the burst.,EXPERIMENTAL,READY_DESIGN,Adult signature selected instead of reusing Six Paths Truth-Seeking Orbs.
naruto-hokage,SKILL_2,rasengan,Instant Rasengan,Rasengan Tốc Chiến,CHAKRA,ACTIVE_SKILL,COOLDOWN,false,0,0,5500,150,400,350,FRONTMOST_ENEMY,rasengan,Fast adult Rasengan pressure,NONE,skills/naruto-hokage/skill_2/animation,skills/naruto-hokage/skill_2/vfx,skills/naruto-hokage/skill_2/sfx,,Form a Rasengan quickly and strike the front enemy.,Nhanh chóng tạo Rasengan và đánh kẻ địch hàng trước.,Narutopedia Naruto Uzumaki Rasengan mastery,HIGH_CANON_FIT,Single-target and moderate coefficient.,EXPERIMENTAL,READY_DESIGN,Adult mastery expressed through short cast/recovery.
naruto-hokage,SKILL_3,shadow-clone-rush,Hokage Shadow Clone Assault,Đột Kích Ảnh Phân Thân Hokage,PHYSICAL,ACTIVE_SKILL,COOLDOWN,false,0,0,7500,200,500,450,RANDOM_ENEMY,shadow-clone-rush,Clone repositioning and multi-angle pressure,NONE,skills/naruto-hokage/skill_3/animation,skills/naruto-hokage/skill_3/vfx,skills/naruto-hokage/skill_3/sfx,,Use shadow clones to pressure an enemy from multiple angles.,Dùng ảnh phân thân gây áp lực lên kẻ địch từ nhiều hướng.,Narutopedia Naruto Uzumaki Shadow Clone mastery,HIGH_CANON_FIT,Dodge/physical defense and random targeting limit focus-fire reliability.,EXPERIMENTAL,READY_DESIGN,Classic identity retained without duplicating Six Paths kit.
naruto-hokage,PASSIVE,passive-jinchuriki,Hokage's Resolve,Ý Chí Hokage,CHAKRA,PASSIVE,ALLY_KO,false,0,0,0,0,0,0,SELF,passive-jinchuriki,Once-per-battle Rage and team resilience response after ally KO,NONE,skills/naruto-hokage/passive/animation,skills/naruto-hokage/passive/vfx,skills/naruto-hokage/passive/sfx,,When an ally is defeated gain Rage and briefly strengthen team resilience once per battle.,Khi đồng đội bị hạ nhận Nộ và tăng sức chống chịu cho đội trong thời gian ngắn một lần mỗi trận.,Adult Hokage leadership characterization,DESIGN_INTERPRETATION,Once-per-battle trigger and temporary buff.,EXPERIMENTAL,READY_DESIGN,Leadership gameplay identity separated from Six Paths passive.
