hero_id,slot,source_technique_id,name_en,name_vi,trigger_type,rage_cost,rage_gain,cooldown_ms,cast_time_ms,impact_ms,recovery_ms,target_selector,special_mechanic,cinematic_mode,description_en,description_vi,canon_source,canon_confidence,counterplay,balance_status,review_status,research_note
sasuke-ems,BASIC,basic-sword,Lightning Sword Slash,Kiếm Sét,BASIC_AUTO,0,15,0,0,90,155,FRONTMOST_ENEMY,Lightning-infused kenjutsu,NONE,Slash with a lightning-infused sword and gain Rage.,Chém bằng kiếm phủ sét và nhận Nộ.,Narutopedia Sasuke Uchiha kenjutsu and Lightning Release,HIGH_CANON_FIT,Standard melee mitigation.,EXPERIMENTAL,READY_DESIGN,Fast EMS basic pressure.
sasuke-ems,SKILL_1,susanoo-arrow,Susanoo Arrow,Mũi Tên Susanoo,RAGE_FULL,100,0,0,650,1100,800,LOWEST_HP_ENEMY,Armored Susanoo bow shot with Blaze Release option,MINI_CINEMATIC,Manifest Susanoo and fire a high-speed chakra arrow at the weakest enemy.,Triệu hồi Susanoo và bắn mũi tên chakra tốc độ cao vào kẻ địch ít HP nhất.,Narutopedia Sasuke Uchiha EMS Susanoo bow,HIGH_CANON_FIT,Single-target shot can be absorbed by shields; long startup is interruptible.,EXPERIMENTAL,READY_DESIGN,EMS climax stays below Rinnegan/Indra tier.
sasuke-ems,SKILL_2,amaterasu,Amaterasu,Thiên Chiếu,COOLDOWN,0,0,7000,250,350,420,LOWEST_HP_ENEMY,Applies time-based black-flame Burn,NONE,Ignite a target with black flames that continue dealing damage over time.,Thiêu đốt mục tiêu bằng hắc viêm gây sát thương theo thời gian.,Narutopedia Amaterasu Sasuke Mangekyo,HIGH_CANON_FIT,Cleanse/fire immunity and healing counter the damage-over-time pressure.,EXPERIMENTAL,READY_DESIGN,Core Mangekyo identity.
sasuke-ems,SKILL_3,flame-control,Blaze Release: Kagutsuchi,Viêm Độn: Kagutsuchi,COOLDOWN,0,0,8500,300,600,450,ALL_ENEMIES,Reshapes black flames into area pressure,NONE,Shape Amaterasu flames into a sweeping Blaze Release attack.,Điều khiển hắc viêm Thiên Chiếu thành đòn Viêm Độn quét diện rộng.,Narutopedia Blaze Release Kagutsuchi,HIGH_CANON_FIT,Long cooldown and cleanseable burn effects.,EXPERIMENTAL,READY_DESIGN,Differentiates EMS through flame manipulation.
sasuke-ems,PASSIVE,passive-sharingan,Eternal Mangekyo,Sharingan Vĩnh Hằng,BATTLE_START,0,0,0,0,0,0,SELF,Accuracy crit and control-resistance baseline,NONE,Gain improved accuracy and critical pressure without Mangekyo degradation penalties.,Tăng chính xác và áp lực chí mạng mà không chịu suy giảm Mangekyo.,Narutopedia Sasuke Eternal Mangekyo Sharingan,HIGH_CANON_FIT,Stat bonuses are bounded and removable team debuffs still affect Sasuke.,EXPERIMENTAL,READY_DESIGN,Gameplay translation of EMS stability.
sasuke-adult,BASIC,basic-sword,Wandering Swordsman Slash,Trảm Kiếm Lữ Khách,BASIC_AUTO,0,15,0,0,80,150,FRONTMOST_ENEMY,Adult one-arm kenjutsu,NONE,Deliver a precise sword slash and gain Rage.,Tung nhát kiếm chính xác và nhận Nộ.,Narutopedia Adult Sasuke kenjutsu,HIGH_CANON_FIT,Standard melee mitigation.,EXPERIMENTAL,READY_DESIGN,Adult fundamentals.
sasuke-adult,SKILL_1,amenotejikara,Amenotejikara: Chidori,Thiên Thủ Lực: Thiên Điểu,RAGE_FULL,100,0,0,500,850,700,LOWEST_HP_ENEMY,Space-swap into a Chidori assassination sequence,MINI_CINEMATIC,Swap position through Amenotejikara and immediately strike the weakest enemy with Chidori.,Dùng Thiên Thủ Lực đổi vị trí rồi lập tức đánh kẻ địch ít HP nhất bằng Thiên Điểu.,Narutopedia Amenotejikara and Sasuke Rinnegan combat,HIGH_CANON_FIT,Range/telegraph rules and anti-teleport control can prevent ideal targeting; burst remains shieldable.,EXPERIMENTAL,READY_DESIGN,Avoids treating one-off Indra's Arrow as adult routine signature.
sasuke-adult,SKILL_2,amaterasu,Amaterasu: Controlled Blaze,Thiên Chiếu: Hắc Viêm Điều Khiển,COOLDOWN,0,0,7000,200,350,380,LOWEST_HP_ENEMY,Black-flame pressure with adult precision,NONE,Ignite a vulnerable enemy with controlled black flames.,Thiêu đốt kẻ địch đang suy yếu bằng hắc viêm được điều khiển chính xác.,Narutopedia Sasuke Uchiha Amaterasu/Kagutsuchi,HIGH_CANON_FIT,Cleanse and sustained healing counter Burn.,EXPERIMENTAL,READY_DESIGN,Adult ocular offense.
sasuke-adult,SKILL_3,chidori,Chidori Blade,Kiếm Thiên Điểu,COOLDOWN,0,0,5500,150,400,350,FRONTMOST_ENEMY,Lightning-infused sword thrust,NONE,Channel Chidori through the sword for a fast piercing strike.,Truyền Thiên Điểu vào kiếm để tung đòn đâm xuyên nhanh.,Narutopedia Sasuke Uchiha Chidori and kenjutsu,HIGH_CANON_FIT,Single-target and physical positioning requirements.,EXPERIMENTAL,READY_DESIGN,Frequent adult pressure skill below Rage climax.
sasuke-adult,PASSIVE,passive-sharingan,Rinnegan Tactician,Chiến Thuật Gia Rinnegan,AFTER_DAMAGE_TAKEN,0,0,0,0,0,0,SELF,Short internal-cooldown reposition/evasion response,NONE,After taking damage gain a brief evasion and accuracy response with an internal cooldown.,Sau khi chịu sát thương nhận tăng né tránh và chính xác ngắn với hồi nội bộ.,Narutopedia Amenotejikara combat utility and adult Sasuke tactics,HIGH_CANON_FIT,Internal cooldown and non-stacking buff prevent permanent safety.,EXPERIMENTAL,READY_DESIGN,Adult Rinnegan utility without adding another Ultimate meter.
