character_id,form_id,form_name,era,power_level,visual_difference,combat_difference,is_persistent_form,is_temporary_form,is_technique,is_coop,standalone_hero_score,awakening_score,canon_type,canon_source,notes
anko-mitarashi,form-anko-mitarashi-cursed-seal-survivor,Cursed Seal Survivor,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
ao,form-ao-byakugan-hunter,Byakugan Hunter,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero ao-core.
ao,form-ao-sensor-captain,Sensor Captain,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
aoba-yamashiro,form-aoba-yamashiro-intelligence-corps,Intelligence Corps,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
aoba-yamashiro,form-aoba-yamashiro-jonin,Jonin,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Base form of proposed hero aoba-yamashiro-core.
aoda,form-aoda-great-snake,Great Snake,SOURCE_ERA,0,3,3,false,false,false,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,"Summon creature is retained as special independent combat content, not a normal ninja hero version."
aoda,form-aoda-sasuke-summon,Sasuke Summon,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Summon-specific action/state belongs to technique presentation rather than another summonable unit.
asuma-sarutobi,form-asuma-sarutobi-edo-tensei,Edo Tensei,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Reanimation is explicitly not treated as a normal Awakening.
asuma-sarutobi,form-asuma-sarutobi-jonin,Jonin,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Base form of proposed hero asuma-sarutobi-core.
asura-otsutsuki,form-asura-otsutsuki-base,Base,ANCIENT,5,6,6,true,false,false,false,84,0,ANIME_CANON,https://naruto.fandom.com/wiki/Asura_%C5%8Ctsutsuki,Base form of proposed hero asura-base.
asura-otsutsuki,form-asura-otsutsuki-six-paths-avatar,Six Paths Avatar,ANCIENT,10,10,10,true,false,false,false,0,89,ANIME_CANON,https://naruto.fandom.com/wiki/Asura_%C5%8Ctsutsuki,Reserved exclusively as Awakening of asura-base.
atsui,form-atsui-cloud-ninja,Cloud Ninja,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=storm,Base form of proposed hero atsui-core.
atsui,form-atsui-war-arc,War Arc,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
baiu,form-baiu-rain-genin,Rain Genin,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero baiu-core.
baiu,form-baiu-senbon-assault,Senbon Assault,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Label describes a technique/weapon action rather than a persistent hero form.
baki,form-baki-sand-jonin,Sand Jonin,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=wind,Base form of proposed hero baki-core.
baki,form-baki-wind-blade,Wind Blade,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Label describes a technique/weapon action rather than a persistent hero form.
black-zetsu,form-black-zetsu-akatsuki-spy,Akatsuki Spy,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=obito,Base form of proposed hero black-zetsu-core.
black-zetsu,form-black-zetsu-kaguya-will,Kaguya Will,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
blue-b,form-blue-b-eight-tails-host,Eight-Tails Host,SOURCE_ERA,5,6,6,true,false,false,false,72,0,DESIGN_INTERPRETATION,current variant census; current kit seed=jinchuriki,Base form of proposed hero blue-b-core.
blue-b,form-blue-b-jinchuriki-cloak,Jinchuriki Cloak,SOURCE_ERA,10,10,10,true,false,false,false,0,76,DESIGN_INTERPRETATION,current variant census; current kit seed=jinchuriki,Reserved exclusively as Awakening of blue-b-core.
bunpuku,form-bunpuku-monk-sage,Monk Sage,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
bunpuku,form-bunpuku-shukaku-host,Shukaku Host,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=jinchuriki,Base form of proposed hero bunpuku-core.
byakuren,form-byakuren-first-mizukage,First Mizukage,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero byakuren-core.
byakuren,form-byakuren-prime,Prime,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
c,form-c-raikage-guard,Raikage Guard,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
c,form-c-sensor,Sensor,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Base form of proposed hero c-core.
chiyo,form-chiyo-base,Base,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=puppet,Base form of proposed hero chiyo-core.
chiyo,form-chiyo-ten-puppets,Ten Puppets,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Secret White Move puppet technique.
choji-akimichi,form-choji-akimichi-butterfly-mode,Butterfly Mode,SHIPPUDEN,10,10,10,true,false,false,false,0,94,MANGA_CANON,https://naruto.fandom.com/wiki/Ch%C5%8Dji_Akimichi,Reserved exclusively as Awakening of choji-shippuden.
choji-akimichi,form-choji-akimichi-genin,Genin,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Age/era appearance; Shippuden is the hero boundary.
choji-akimichi,form-choji-akimichi-shippuden,Shippuden,SHIPPUDEN,5,6,6,true,false,false,false,85,0,MANGA_CANON,https://naruto.fandom.com/wiki/Ch%C5%8Dji_Akimichi,Base form of proposed hero choji-shippuden.
choji-akimichi,form-choji-akimichi-war-arc,War Arc,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era appearance.
chojuro,form-chojuro-hiramekarei-master,Hiramekarei Master,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
chojuro,form-chojuro-seven-swordsman,Seven Swordsman,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero chojuro-core.
choza-akimichi,form-choza-akimichi-clan-head,Clan Head,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=akimichi,Base form of proposed hero choza-akimichi-core.
choza-akimichi,form-choza-akimichi-war-arc,War Arc,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
chukichi,form-chukichi-reanimated,Reanimated,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Reanimation is explicitly not treated as a normal Awakening.
chukichi,form-chukichi-sensor-ninja,Sensor Ninja,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero chukichi-core.
dan-kato,form-dan-kato-jonin,Jonin,SOURCE_ERA,5,6,6,true,false,false,false,72,0,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Base form of proposed hero dan-kato-core.
dan-kato,form-dan-kato-spirit-transformation,Spirit Transformation,SOURCE_ERA,10,10,10,false,false,true,false,0,0,MANGA_CANON,current variant census; current kit seed=genjutsu,Spirit Transformation Technique is a jutsu that projects Dan's spirit; it is not a persistent transformed body.
danzo-shimura,form-danzo-shimura-hokage-candidate,Hokage Candidate,FIVE_KAGE_SUMMIT,5,6,6,true,false,false,false,85,0,MANGA_CANON,https://naruto.fandom.com/wiki/Danz%C5%8D_Shimura,Base form of proposed hero danzo-candidate.
danzo-shimura,form-danzo-shimura-izanagi-arm,Izanagi Arm,FIVE_KAGE_SUMMIT,10,10,10,true,false,false,false,0,89,MANGA_CANON,https://naruto.fandom.com/wiki/Danz%C5%8D_Shimura,Reserved exclusively as Awakening of danzo-candidate.
darui,form-darui-base,Base,SHIPPUDEN,5,6,6,true,false,false,false,68,0,MANGA_CANON,https://naruto.fandom.com/wiki/Darui;https://naruto.fandom.com/wiki/Storm_Release,Synthetic neutral form-pool entry representing the character themselves; not an additional legacy variant.
darui,form-darui-raikage-guard,Raikage Guard,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
darui,form-darui-storm-release,Storm Release,SOURCE_ERA,5,6,6,false,false,true,false,0,0,MANGA_CANON,current variant census; current kit seed=storm,"Storm Release is Darui's kekkei genkai/nature transformation, not a separate persistent hero form."
deidara,form-deidara-akatsuki,Akatsuki,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=deidara,Base form of proposed hero deidara-core.
deidara,form-deidara-c2-dragon,C2 Dragon,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,"Named technique/construct, not a persistent hero form."
deidara,form-deidara-c4,C4,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,"Named ultimate-scale technique, not a hero."
deidara,form-deidara-edo-tensei,Edo Tensei,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Reanimation skin/state.
dodai,form-dodai-base,Base,SHIPPUDEN,5,6,6,true,false,false,false,68,0,MANGA_CANON,https://naruto.fandom.com/wiki/Dodai;https://naruto.fandom.com/wiki/Lava_Release%3A_Rubber_Rope,Synthetic neutral form-pool entry representing the character themselves; not an additional legacy variant.
dodai,form-dodai-lava-rubber-style,Lava Rubber Style,SOURCE_ERA,5,6,6,false,false,true,false,0,0,MANGA_CANON,current variant census; current kit seed=earth,"Dodai's vulcanised-rubber Lava Release is expressed through ninjutsu such as Rubber Rope/Defence, not a persistent form."
dodai,form-dodai-third-raikage-aide,Third Raikage Aide,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
dosu-kinuta,form-dosu-kinuta-resonating-echo,Resonating Echo,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Label describes a technique/weapon action rather than a persistent hero form.
dosu-kinuta,form-dosu-kinuta-sound-genin,Sound Genin,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=sound,Base form of proposed hero dosu-kinuta-core.
ebisu,form-ebisu-elite-tutor,Elite Tutor,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=taijutsu,Base form of proposed hero ebisu-core.
ebisu,form-ebisu-special-jonin,Special Jonin,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
ebizo,form-ebizo-puppet-strategist,Puppet Strategist,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
ebizo,form-ebizo-sand-elder,Sand Elder,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=puppet,Base form of proposed hero ebizo-core.
enma,form-enma-adamantine-staff,Adamantine Staff,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Summon-specific action/state belongs to technique presentation rather than another summonable unit.
enma,form-enma-monkey-king,Monkey King,SOURCE_ERA,0,3,3,false,false,false,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,"Summon creature is retained as special independent combat content, not a normal ninja hero version."
first-raikage,form-first-raikage-first-raikage,First Raikage,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=raikage,Base form of proposed hero first-raikage-core.
first-raikage,form-first-raikage-prime,Prime,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
fu,form-fu-base,Base,SHIPPUDEN,5,6,6,true,false,false,false,80,0,MANGA_CANON,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,Base form of proposed hero fu-base.
fu,form-fu-seven-tails-cloak,Seven-Tails Cloak,SHIPPUDEN,10,10,10,true,false,false,false,0,85,MANGA_CANON,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,Reserved exclusively as Awakening of fu-base.
fu-yamanaka,form-fu-yamanaka-mind-transfer,Mind Transfer,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Label describes a technique/weapon action rather than a persistent hero form.
fu-yamanaka,form-fu-yamanaka-root-operative,Root Operative,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=yamanaka,Base form of proposed hero fu-yamanaka-core.
fudo,form-fudo-earth-body,Earth Body,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
fudo,form-fudo-four-man-team,Four-Man Team,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=earth,Base form of proposed hero fudo-core.
fuen,form-fuen-barrier-specialist,Barrier Specialist,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
fuen,form-fuen-four-man-team,Four-Man Team,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Base form of proposed hero fuen-core.
fugaku-uchiha,form-fugaku-uchiha-clan-head,Clan Head,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=sasuke,Base form of proposed hero fugaku-uchiha-core.
fugaku-uchiha,form-fugaku-uchiha-police-captain,Police Captain,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
fuguki-suikazan,form-fuguki-suikazan-reanimated,Reanimated,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Reanimation is explicitly not treated as a normal Awakening.
fuguki-suikazan,form-fuguki-suikazan-samehada-wielder,Samehada Wielder,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero fuguki-suikazan-core.
fuka,form-fuka-elemental-kiss,Elemental Kiss,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Label describes a technique/weapon action rather than a persistent hero form.
fuka,form-fuka-four-man-team,Four-Man Team,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Base form of proposed hero fuka-core.
fukasaku,form-fukasaku-sage-training,Sage Training,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Summon-specific action/state belongs to technique presentation rather than another summonable unit.
fukasaku,form-fukasaku-toad-sage,Toad Sage,SOURCE_ERA,0,3,3,false,false,false,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,"Summon creature is retained as special independent combat content, not a normal ninja hero version."
gaara,form-gaara-genin,Genin,PART_I,5,6,6,true,false,false,false,89,0,MANGA_CANON,https://naruto.fandom.com/wiki/Gaara,Base form of proposed hero gaara-genin.
gaara,form-gaara-kazekage,Kazekage,SHIPPUDEN,5,6,6,true,false,false,false,91,0,MANGA_CANON,https://naruto.fandom.com/wiki/Gaara,Base form of proposed hero gaara-kazekage.
gaara,form-gaara-shukaku-cloak,Shukaku Cloak,PART_I,10,10,10,true,false,false,false,0,90,MANGA_CANON,https://naruto.fandom.com/wiki/Gaara,Reserved exclusively as Awakening of gaara-genin.
gaara,form-gaara-war-arc,War Arc,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era presentation of Kazekage Gaara.
gamabunta,form-gamabunta-gamabunta-battle,Gamabunta Battle,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Summon-specific action/state belongs to technique presentation rather than another summonable unit.
gamabunta,form-gamabunta-toad-boss,Toad Boss,SOURCE_ERA,0,3,3,false,false,false,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,"Summon creature is retained as special independent combat content, not a normal ninja hero version."
gamakichi,form-gamakichi-war-arc-toad,War Arc Toad,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Summon-specific action/state belongs to technique presentation rather than another summonable unit.
gamakichi,form-gamakichi-young-toad,Young Toad,SOURCE_ERA,0,3,3,false,false,false,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,"Summon creature is retained as special independent combat content, not a normal ninja hero version."
gari,form-gari-base,Base,SHIPPUDEN,5,6,6,true,false,false,false,68,0,MANGA_CANON,https://naruto.fandom.com/wiki/Gari;https://naruto.fandom.com/wiki/Explosion_Release,Synthetic neutral form-pool entry representing the character themselves; not an additional legacy variant.
gari,form-gari-explosion-release,Explosion Release,SOURCE_ERA,5,6,6,false,false,true,false,0,0,MANGA_CANON,current variant census; current kit seed=earth,"Explosion Release is Gari's kekkei genkai/ninjutsu style, not a persistent transformation."
gari,form-gari-reanimated,Reanimated,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Reanimation is explicitly not treated as a normal Awakening.
gengetsu-hozuki,form-gengetsu-hozuki-edo-tensei,Edo Tensei,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Reanimation is explicitly not treated as a normal Awakening.
gengetsu-hozuki,form-gengetsu-hozuki-second-mizukage,Second Mizukage,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero gengetsu-hozuki-core.
genma-shiranui,form-genma-shiranui-fourth-hokage-guard,Fourth Hokage Guard,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Era/rank/title difference alone does not justify another collectible hero.
genma-shiranui,form-genma-shiranui-special-jonin,Special Jonin,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Base form of proposed hero genma-shiranui-core.
ginkaku,form-ginkaku-nine-tails-cloak,Nine-Tails Cloak,WAR_ERA,10,10,10,true,false,false,false,0,90,MANGA_CANON,https://naruto.fandom.com/wiki/Ginkaku,Reserved exclusively as Awakening of ginkaku-base.
ginkaku,form-ginkaku-silver-brother,Silver Brother,WAR_ERA,5,6,6,true,false,false,false,82,0,MANGA_CANON,https://naruto.fandom.com/wiki/Ginkaku,Base form of proposed hero ginkaku-base.
gozu,form-gozu-chain-gauntlet,Chain Gauntlet,SOURCE_ERA,0,3,3,false,false,true,false,0,0,SOURCE_RESEARCH_REQUIRED,current variant census; character-specific canon source required before production READY,Label describes a technique/weapon action rather than a persistent hero form.
gozu,form-gozu-demon-brothers,Demon Brothers,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Base form of proposed hero gozu-core.
guren,form-guren-base,Base,SHIPPUDEN,5,6,6,true,false,false,false,68,0,MANGA_CANON,https://naruto.fandom.com/wiki/Guren;https://naruto.fandom.com/wiki/Crystal_Release,Synthetic neutral form-pool entry representing the character themselves; not an additional legacy variant.
guren,form-guren-crystal-release,Crystal Release,SOURCE_ERA,5,6,6,false,false,true,false,0,0,MANGA_CANON,current variant census; current kit seed=earth,Crystal Release is Guren's ninjutsu identity and should feed her five-skill kit rather than become a collectible form label.
guren,form-guren-three-tails-mission,Three-Tails Mission,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
hagoromo-otsutsuki,form-hagoromo-otsutsuki-sage-of-six-paths,Sage of Six Paths,ANCIENT,10,10,10,true,false,false,false,0,94,ANIME_CANON,https://naruto.fandom.com/wiki/Hagoromo_%C5%8Ctsutsuki,Reserved exclusively as Awakening of hagoromo-young.
hagoromo-otsutsuki,form-hagoromo-otsutsuki-young,Young,ANCIENT,5,6,6,true,false,false,false,92,0,ANIME_CANON,https://naruto.fandom.com/wiki/Hagoromo_%C5%8Ctsutsuki,Base form of proposed hero hagoromo-young.
haku,form-haku-base,Base,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Base form of proposed hero haku-core.
haku,form-haku-edo-tensei,Edo Tensei,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Reanimation is explicitly not treated as a normal Awakening.
hamura-otsutsuki,form-hamura-otsutsuki-tenseigan-legacy,Tenseigan Legacy,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Legacy/title wording is not a documented persistent Hamura transformation.
hamura-otsutsuki,form-hamura-otsutsuki-young,Young,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=sixpaths,Base form of proposed hero hamura-otsutsuki-core.
han,form-han-base,Base,SHIPPUDEN,5,6,6,true,false,false,false,80,0,MANGA_CANON,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,Base form of proposed hero han-base.
han,form-han-five-tails-cloak,Five-Tails Cloak,SHIPPUDEN,10,10,10,true,false,false,false,0,86,MANGA_CANON,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,Reserved exclusively as Awakening of han-base.
hanabi-hyuga,form-hanabi-hyuga-byakugan-master,Byakugan Master,SOURCE_ERA,0,3,3,false,false,false,false,0,0,DESIGN_INTERPRETATION,current variant census; character-specific canon source required before production READY,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.
hanabi-hyuga,form-hanabi-hyuga-hyuga-heiress,Hyuga Heiress,SOURCE_ERA,5,6,6,true,false,false,false,68,0,DESIGN_INTERPRETATION,current variant census; current kit seed=hyuga,Base form of proposed hero hanabi-hyuga-core.
