hero_id,character_id,hero_version_name,base_form_id,awakening_form_id,awakening_name,hero_version_score,pair_score,role,era,awakening_type,canon_confidence,source_reference,design_reason,status
baiu-core,baiu,baiu [Core],form-baiu-rain-genin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
baki-core,baki,baki [Core],form-baki-sand-jonin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=wind,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
black-zetsu-core,black-zetsu,black-zetsu [Core],form-black-zetsu-akatsuki-spy,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=obito,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
blue-b-core,blue-b,blue-b [Core],form-blue-b-eight-tails-host,form-blue-b-jinchuriki-cloak,Jinchuriki Cloak,72,76,FLEX,SOURCE_ERA,CANON_FORM,DESIGN_INTERPRETATION,current variant census; current kit seed=jinchuriki,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
bunpuku-core,bunpuku,bunpuku [Core],form-bunpuku-shukaku-host,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=jinchuriki,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
byakuren-core,byakuren,byakuren [Core],form-byakuren-first-mizukage,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
c-core,c,c [Core],form-c-sensor,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
chiyo-core,chiyo,chiyo [Core],form-chiyo-base,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=puppet,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
choji-shippuden,choji-akimichi,Choji [Shippuden],form-choji-akimichi-shippuden,form-choji-akimichi-butterfly-mode,Butterfly Choji,85,94,BRUISER,SHIPPUDEN,CLAN_MODE,MANGA_CANON,https://naruto.fandom.com/wiki/Ch%C5%8Dji_Akimichi,Butterfly Mode is the canonical visible Akimichi power spike and natural Awakening.,PROPOSED_RESEARCH_BASELINE
chojuro-core,chojuro,chojuro [Core],form-chojuro-seven-swordsman,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
choza-akimichi-core,choza-akimichi,choza-akimichi [Core],form-choza-akimichi-clan-head,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=akimichi,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
chukichi-core,chukichi,chukichi [Core],form-chukichi-sensor-ninja,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
dan-kato-core,dan-kato,dan-kato [Core],form-dan-kato-jonin,,,72,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like. The legacy technique-like label was removed from the Awakening slot after semantic audit.,PROPOSED_NEEDS_SOURCE_REVIEW
danzo-candidate,danzo-shimura,Danzo [Hokage Candidate],form-danzo-shimura-hokage-candidate,form-danzo-shimura-izanagi-arm,Izanagi Arm Unsealed,85,89,CONTROL_TANK,FIVE_KAGE_SUMMIT,DOJUTSU_SEAL,MANGA_CANON,https://naruto.fandom.com/wiki/Danz%C5%8D_Shimura,Unsealing the Sharingan arm is an immediate visual/gameplay power-state change suitable for the one Awakening.,PROPOSED_RESEARCH_BASELINE
darui-core,darui,Darui,form-darui-base,,,68,,FLEX,SOURCE_ERA,NONE,MANGA_CANON,https://naruto.fandom.com/wiki/Darui;https://naruto.fandom.com/wiki/Storm_Release,Character retained as one collectible base hero; legacy ability label is migrated into the explicit kit instead of being treated as a form.,PROPOSED_RESEARCH_BASELINE
deidara-core,deidara,deidara [Core],form-deidara-akatsuki,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=deidara,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
dodai-core,dodai,Dodai,form-dodai-base,,,68,,FLEX,SOURCE_ERA,NONE,MANGA_CANON,https://naruto.fandom.com/wiki/Dodai;https://naruto.fandom.com/wiki/Lava_Release%3A_Rubber_Rope,Character retained as one collectible base hero; legacy ability label is migrated into the explicit kit instead of being treated as a form.,PROPOSED_RESEARCH_BASELINE
dosu-kinuta-core,dosu-kinuta,dosu-kinuta [Core],form-dosu-kinuta-sound-genin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=sound,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
ebisu-core,ebisu,ebisu [Core],form-ebisu-elite-tutor,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=taijutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
ebizo-core,ebizo,ebizo [Core],form-ebizo-sand-elder,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=puppet,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
first-raikage-core,first-raikage,first-raikage [Core],form-first-raikage-first-raikage,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=raikage,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
fu-base,fu,Fu,form-fu-base,form-fu-seven-tails-cloak,Seven-Tails Cloak,80,85,MOBILITY_DPS,SHIPPUDEN,JINCHURIKI,MANGA_CANON,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,Canonical cloak creates an immediate visual and mechanical awakening.,PROPOSED_RESEARCH_BASELINE
fu-yamanaka-core,fu-yamanaka,fu-yamanaka [Core],form-fu-yamanaka-root-operative,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=yamanaka,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
fudo-core,fudo,fudo [Core],form-fudo-four-man-team,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=earth,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
fuen-core,fuen,fuen [Core],form-fuen-four-man-team,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
fugaku-uchiha-core,fugaku-uchiha,fugaku-uchiha [Core],form-fugaku-uchiha-clan-head,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=sasuke,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
fuguki-suikazan-core,fuguki-suikazan,fuguki-suikazan [Core],form-fuguki-suikazan-samehada-wielder,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
fuka-core,fuka,fuka [Core],form-fuka-four-man-team,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
gaara-genin,gaara,Gaara [Genin],form-gaara-genin,form-gaara-shukaku-cloak,Shukaku Gaara,89,90,TANK_CONTROL,PART_I,JINCHURIKI,MANGA_CANON,https://naruto.fandom.com/wiki/Gaara,Part I Gaara has a canonical visible partial-tailed-beast escalation.,PROPOSED_RESEARCH_BASELINE
gaara-kazekage,gaara,Gaara [Kazekage],form-gaara-kazekage,,,91,,TANK_CONTROL,SHIPPUDEN,NONE,MANGA_CANON,https://naruto.fandom.com/wiki/Gaara,Kazekage Gaara is a separate mature combat identity; War Arc is retained as cosmetic/era material.,PROPOSED_RESEARCH_BASELINE
gari-core,gari,Gari,form-gari-base,,,68,,FLEX,SOURCE_ERA,NONE,MANGA_CANON,https://naruto.fandom.com/wiki/Gari;https://naruto.fandom.com/wiki/Explosion_Release,Character retained as one collectible base hero; legacy ability label is migrated into the explicit kit instead of being treated as a form.,PROPOSED_RESEARCH_BASELINE
gengetsu-hozuki-core,gengetsu-hozuki,gengetsu-hozuki [Core],form-gengetsu-hozuki-second-mizukage,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
genma-shiranui-core,genma-shiranui,genma-shiranui [Core],form-genma-shiranui-special-jonin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
ginkaku-base,ginkaku,Ginkaku,form-ginkaku-silver-brother,form-ginkaku-nine-tails-cloak,Nine-Tails Cloak,82,90,CONTROL,WAR_ERA,JINCHURIKI_LIKE,MANGA_CANON,https://naruto.fandom.com/wiki/Ginkaku,The cloak is a canonical visible power state and should remain exclusive to Awakening.,PROPOSED_RESEARCH_BASELINE
gozu-core,gozu,gozu [Core],form-gozu-demon-brothers,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
guren-core,guren,Guren,form-guren-base,,,68,,FLEX,SOURCE_ERA,NONE,MANGA_CANON,https://naruto.fandom.com/wiki/Guren;https://naruto.fandom.com/wiki/Crystal_Release,Character retained as one collectible base hero; legacy ability label is migrated into the explicit kit instead of being treated as a form.,PROPOSED_RESEARCH_BASELINE
hagoromo-young,hagoromo-otsutsuki,Hagoromo [Young],form-hagoromo-otsutsuki-young,form-hagoromo-otsutsuki-sage-of-six-paths,Sage of Six Paths,92,94,UTILITY_CONTROL,ANCIENT,SIX_PATHS,ANIME_CANON,https://naruto.fandom.com/wiki/Hagoromo_%C5%8Ctsutsuki,The Sage of Six Paths identity is a clear later state with iconic visual/ability escalation.,PROPOSED_RESEARCH_BASELINE
haku-core,haku,haku [Core],form-haku-base,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
hamura-otsutsuki-core,hamura-otsutsuki,hamura-otsutsuki [Core],form-hamura-otsutsuki-young,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=sixpaths,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
han-base,han,Han,form-han-base,form-han-five-tails-cloak,Five-Tails Cloak,80,86,BRUISER,SHIPPUDEN,JINCHURIKI,MANGA_CANON,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,Canonical cloak is reserved as the one Awakening.,PROPOSED_RESEARCH_BASELINE
hanabi-hyuga-core,hanabi-hyuga,hanabi-hyuga [Core],form-hanabi-hyuga-hyuga-heiress,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=hyuga,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
hanzo-core,hanzo,hanzo [Core],form-hanzo-prime,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
hashirama-hokage,hashirama-senju,Hashirama [First Hokage],form-hashirama-senju-first-hokage,form-hashirama-senju-sage-mode,Sage Hashirama,96,94,TANK_CONTROL,HOKAGE,SAGE,MANGA_CANON,https://naruto.fandom.com/wiki/Hashirama_Senju,Sage Mode visibly marks and amplifies Hashirama while preserving his wood-style identity.,PROPOSED_RESEARCH_BASELINE
hayate-gekko-core,hayate-gekko,hayate-gekko [Core],form-hayate-gekko-chunin-exams-proctor,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
hiashi-hyuga-core,hiashi-hyuga,hiashi-hyuga [Core],form-hiashi-hyuga-clan-head,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=hyuga,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
hidan-core,hidan,hidan [Core],form-hidan-akatsuki,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=hidan,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
hinata-hyuga-core,hinata-hyuga,hinata-hyuga [Core],form-hinata-hyuga-genin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=hyuga,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
hiruko-core,hiruko,hiruko [Core],form-hiruko-missing-nin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
hiruzen-prime,hiruzen-sarutobi,Hiruzen [Prime],form-hiruzen-sarutobi-prime,,,88,,FLEX,HOKAGE,NONE,DESIGN_INTERPRETATION,https://naruto.fandom.com/wiki/Hiruzen_Sarutobi,Prime is kept as the gameplay identity; title/Edo variants do not justify a forced transformation.,PROPOSED_NEEDS_SOURCE_REVIEW
hizashi-hyuga-core,hizashi-hyuga,hizashi-hyuga [Core],form-hizashi-hyuga-branch-house,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=hyuga,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
ibiki-morino-core,ibiki-morino,ibiki-morino [Core],form-ibiki-morino-interrogation-chief,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=genjutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
idate-morino-core,idate-morino,idate-morino [Core],form-idate-morino-runner,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
indra-base,indra-otsutsuki,Indra Otsutsuki,form-indra-otsutsuki-base,form-indra-otsutsuki-susanoo,Susanoo Indra,84,90,CONTROL_DPS,ANCIENT,SUSANOO,ANIME_CANON,https://naruto.fandom.com/wiki/Indra_%C5%8Ctsutsuki,Susanoo is the strongest visible census transformation and preserves the one-Awakening rule.,PROPOSED_RESEARCH_BASELINE
ino-yamanaka-core,ino-yamanaka,ino-yamanaka [Core],form-ino-yamanaka-genin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=yamanaka,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
inoichi-yamanaka-core,inoichi-yamanaka,inoichi-yamanaka [Core],form-inoichi-yamanaka-clan-head,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=yamanaka,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
iruka-umino-core,iruka-umino,iruka-umino [Core],form-iruka-umino-academy-instructor,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=taijutsu,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
ishikawa-core,ishikawa,ishikawa [Core],form-ishikawa-first-tsuchikage,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=earth,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
itachi-akatsuki,itachi-uchiha,Itachi [Akatsuki],form-itachi-uchiha-akatsuki,form-itachi-uchiha-susanoo,Susanoo Itachi,96,95,CONTROL_DPS,AKATSUKI,SUSANOO,MANGA_CANON,https://naruto.fandom.com/wiki/Itachi_Uchiha,Susanoo supplies the strongest visible one-time Awakening and unique sixth skill without making another Itachi collectible.,PROPOSED_RESEARCH_BASELINE
itachi-anbu,itachi-uchiha,Itachi [ANBU],form-itachi-uchiha-anbu,form-itachi-uchiha-mangekyo,Mangekyo Itachi,84,88,CONTROL,ANBU,DOJUTSU,MANGA_CANON,https://naruto.fandom.com/wiki/Itachi_Uchiha,ANBU Itachi and Mangekyo Itachi have a clear narrative and combat escalation.,PROPOSED_RESEARCH_BASELINE
izumo-kamizuki-core,izumo-kamizuki,izumo-kamizuki [Core],form-izumo-kamizuki-gate-guard,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=swordsman,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
izuna-uchiha-core,izuna-uchiha,izuna-uchiha [Core],form-izuna-uchiha-warring-states,form-izuna-uchiha-mangekyo-sharingan,Mangekyo Sharingan,72,76,FLEX,SOURCE_ERA,CANON_FORM,DESIGN_INTERPRETATION,current variant census; current kit seed=sasuke,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
jinin-akebino-core,jinin-akebino,jinin-akebino [Core],form-jinin-akebino-kabutowari-wielder,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
jinpachi-munashi-core,jinpachi-munashi,jinpachi-munashi [Core],form-jinpachi-munashi-shibuki-wielder,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
jirobo-base,jirobo,Jirobo,form-jirobo-sound-four,form-jirobo-curse-mark-level-2,Curse Mark Level 2,77,88,TANK,PART_I,CURSED_SEAL,MANGA_CANON,https://naruto.fandom.com/wiki/Cursed_Seal,Curse Mark Level 2 is a canonical visible escalation.,PROPOSED_RESEARCH_BASELINE
jugo-base,jugo,Jugo,form-jugo-curse-mark-base,form-jugo-sage-transformation,Sage Transformation,86,93,BRUISER,SHIPPUDEN,SAGE_TRANSFORMATION,MANGA_CANON,https://naruto.fandom.com/wiki/J%C5%ABgo,Full Sage Transformation is the canonical visible escalation of Jugo's clan ability.,PROPOSED_RESEARCH_BASELINE
kabuto-part1,kabuto-yakushi,Kabuto [Part I],form-kabuto-yakushi-part-i,,,76,,SUPPORT_ASSASSIN,PART_I,NONE,MANGA_CANON,https://naruto.fandom.com/wiki/Kabuto_Yakushi,Part I Kabuto has a distinct spy/medical identity but no reserved transformation is forced.,PROPOSED_RESEARCH_BASELINE
kabuto-shippuden,kabuto-yakushi,Kabuto [Shippuden],form-kabuto-yakushi-shippuden,form-kabuto-yakushi-snake-sage,Snake Sage Kabuto,92,96,CONTROL_DPS,WAR_ARC,SAGE,MANGA_CANON,https://naruto.fandom.com/wiki/Kabuto_Yakushi,Snake Sage is a major visual/mechanical transformation and ideal one-step Awakening.,PROPOSED_RESEARCH_BASELINE
kagami-uchiha-core,kagami-uchiha,kagami-uchiha [Core],form-kagami-uchiha-tobirama-guard,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=sasuke,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
kagari-core,kagari,kagari [Core],form-kagari-rain-genin,,,68,,FLEX,SOURCE_ERA,NONE,DESIGN_INTERPRETATION,current variant census; current kit seed=water,Minor/support character keeps one differentiated collectible identity; a transformation is only reserved when the census label is visibly form-like.,PROPOSED_NEEDS_SOURCE_REVIEW
kaguya-base,kaguya-otsutsuki,Kaguya Otsutsuki,form-kaguya-otsutsuki-base,form-kaguya-otsutsuki-rabbit-goddess,Rabbit Goddess,97,90,BOSS_CONTROL,ANCIENT,BODY_TRANSFORMATION,MANGA_CANON,https://naruto.fandom.com/wiki/Kaguya_%C5%8Ctsutsuki,The rabbit-goddess state is a visually distinct high-power body form and remains exclusive to Kaguya's Awakening.,PROPOSED_RESEARCH_BASELINE
kakashi-anbu,kakashi-hatake,Kakashi [ANBU],form-kakashi-hatake-anbu,,,78,,ASSASSIN,ANBU,NONE,ANIME_CANON,https://naruto.fandom.com/wiki/Kakashi_Hatake,"ANBU Kakashi is a distinct presentation/role, but a separate invented transformation is not required.",PROPOSED_RESEARCH_BASELINE
