character_id,old_variant,old_variant_id,classification,new_hero_id,new_awakening_form_id,new_skill_id,new_skin_id,temporary_state_id,migration_action,reason,confidence
aoda,Sasuke Summon,form-aoda-sasuke-summon,SKILL_OR_ULTIMATE,,,legacy-aoda-sasuke-summon,,,MOVE_TO_SKILL,Summon-specific action/state belongs to technique presentation rather than another summonable unit.,MEDIUM
asuma-sarutobi,Edo Tensei,form-asuma-sarutobi-edo-tensei,COSMETIC_SKIN,,,,skin-asuma-sarutobi-edo-tensei,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
asuma-sarutobi,Jonin,form-asuma-sarutobi-jonin,COLLECTIBLE_HERO_VERSION,asuma-sarutobi-core,,,,,KEEP_AS_HERO,Base form of proposed hero asuma-sarutobi-core.,HIGH
asura-otsutsuki,Base,form-asura-otsutsuki-base,COLLECTIBLE_HERO_VERSION,asura-base,,,,,KEEP_AS_HERO,Base form of proposed hero asura-base.,HIGH
asura-otsutsuki,Six Paths Avatar,form-asura-otsutsuki-six-paths-avatar,AWAKENING_FORM,,awakening-asura-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of asura-base.,HIGH
atsui,Cloud Ninja,form-atsui-cloud-ninja,COLLECTIBLE_HERO_VERSION,atsui-core,,,,,KEEP_AS_HERO,Base form of proposed hero atsui-core.,HIGH
atsui,War Arc,form-atsui-war-arc,COSMETIC_SKIN,,,,skin-atsui-war-arc,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
baiu,Rain Genin,form-baiu-rain-genin,COLLECTIBLE_HERO_VERSION,baiu-core,,,,,KEEP_AS_HERO,Base form of proposed hero baiu-core.,HIGH
baiu,Senbon Assault,form-baiu-senbon-assault,SKILL_OR_ULTIMATE,,,legacy-baiu-senbon-assault,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
baki,Sand Jonin,form-baki-sand-jonin,COLLECTIBLE_HERO_VERSION,baki-core,,,,,KEEP_AS_HERO,Base form of proposed hero baki-core.,HIGH
baki,Wind Blade,form-baki-wind-blade,SKILL_OR_ULTIMATE,,,legacy-baki-wind-blade,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
black-zetsu,Akatsuki Spy,form-black-zetsu-akatsuki-spy,COLLECTIBLE_HERO_VERSION,black-zetsu-core,,,,,KEEP_AS_HERO,Base form of proposed hero black-zetsu-core.,HIGH
black-zetsu,Kaguya Will,form-black-zetsu-kaguya-will,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
blue-b,Eight-Tails Host,form-blue-b-eight-tails-host,COLLECTIBLE_HERO_VERSION,blue-b-core,,,,,KEEP_AS_HERO,Base form of proposed hero blue-b-core.,HIGH
blue-b,Jinchuriki Cloak,form-blue-b-jinchuriki-cloak,AWAKENING_FORM,,awakening-blue-b-core,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of blue-b-core.,HIGH
bunpuku,Monk Sage,form-bunpuku-monk-sage,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
bunpuku,Shukaku Host,form-bunpuku-shukaku-host,COLLECTIBLE_HERO_VERSION,bunpuku-core,,,,,KEEP_AS_HERO,Base form of proposed hero bunpuku-core.,HIGH
byakuren,First Mizukage,form-byakuren-first-mizukage,COLLECTIBLE_HERO_VERSION,byakuren-core,,,,,KEEP_AS_HERO,Base form of proposed hero byakuren-core.,HIGH
byakuren,Prime,form-byakuren-prime,COSMETIC_SKIN,,,,skin-byakuren-prime,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
c,Raikage Guard,form-c-raikage-guard,COSMETIC_SKIN,,,,skin-c-raikage-guard,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
c,Sensor,form-c-sensor,COLLECTIBLE_HERO_VERSION,c-core,,,,,KEEP_AS_HERO,Base form of proposed hero c-core.,HIGH
chiyo,Base,form-chiyo-base,COLLECTIBLE_HERO_VERSION,chiyo-core,,,,,KEEP_AS_HERO,Base form of proposed hero chiyo-core.,HIGH
chiyo,Ten Puppets,form-chiyo-ten-puppets,SKILL_OR_ULTIMATE,,,legacy-chiyo-ten-puppets,,,MOVE_TO_ULTIMATE,Secret White Move puppet technique.,HIGH
choji-akimichi,Butterfly Mode,form-choji-akimichi-butterfly-mode,AWAKENING_FORM,,awakening-choji-shippuden,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of choji-shippuden.,HIGH
choji-akimichi,Genin,form-choji-akimichi-genin,COSMETIC_SKIN,,,,skin-choji-akimichi-genin,,MOVE_TO_SKIN,Age/era appearance; Shippuden is the hero boundary.,HIGH
choji-akimichi,Shippuden,form-choji-akimichi-shippuden,COLLECTIBLE_HERO_VERSION,choji-shippuden,,,,,KEEP_AS_HERO,Base form of proposed hero choji-shippuden.,HIGH
choji-akimichi,War Arc,form-choji-akimichi-war-arc,COSMETIC_SKIN,,,,skin-choji-akimichi-war-arc,,MOVE_TO_SKIN,Era appearance.,HIGH
chojuro,Hiramekarei Master,form-chojuro-hiramekarei-master,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
chojuro,Seven Swordsman,form-chojuro-seven-swordsman,COLLECTIBLE_HERO_VERSION,chojuro-core,,,,,KEEP_AS_HERO,Base form of proposed hero chojuro-core.,HIGH
choza-akimichi,Clan Head,form-choza-akimichi-clan-head,COLLECTIBLE_HERO_VERSION,choza-akimichi-core,,,,,KEEP_AS_HERO,Base form of proposed hero choza-akimichi-core.,HIGH
choza-akimichi,War Arc,form-choza-akimichi-war-arc,COSMETIC_SKIN,,,,skin-choza-akimichi-war-arc,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
chukichi,Reanimated,form-chukichi-reanimated,COSMETIC_SKIN,,,,skin-chukichi-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
chukichi,Sensor Ninja,form-chukichi-sensor-ninja,COLLECTIBLE_HERO_VERSION,chukichi-core,,,,,KEEP_AS_HERO,Base form of proposed hero chukichi-core.,HIGH
dan-kato,Jonin,form-dan-kato-jonin,COLLECTIBLE_HERO_VERSION,dan-kato-core,,,,,KEEP_AS_HERO,Base form of proposed hero dan-kato-core.,HIGH
dan-kato,Spirit Transformation,form-dan-kato-spirit-transformation,AWAKENING_FORM,,awakening-dan-kato-core,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of dan-kato-core.,HIGH
danzo-shimura,Hokage Candidate,form-danzo-shimura-hokage-candidate,COLLECTIBLE_HERO_VERSION,danzo-candidate,,,,,KEEP_AS_HERO,Base form of proposed hero danzo-candidate.,HIGH
danzo-shimura,Izanagi Arm,form-danzo-shimura-izanagi-arm,AWAKENING_FORM,,awakening-danzo-candidate,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of danzo-candidate.,HIGH
darui,Raikage Guard,form-darui-raikage-guard,COSMETIC_SKIN,,,,skin-darui-raikage-guard,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
darui,Storm Release,form-darui-storm-release,COLLECTIBLE_HERO_VERSION,darui-core,,,,,KEEP_AS_HERO,Base form of proposed hero darui-core.,HIGH
deidara,Akatsuki,form-deidara-akatsuki,COLLECTIBLE_HERO_VERSION,deidara-core,,,,,KEEP_AS_HERO,Base form of proposed hero deidara-core.,HIGH
deidara,C2 Dragon,form-deidara-c2-dragon,SKILL_OR_ULTIMATE,,,legacy-deidara-c2-dragon,,,MOVE_TO_SKILL,"Named technique/construct, not a persistent hero form.",HIGH
deidara,C4,form-deidara-c4,SKILL_OR_ULTIMATE,,,legacy-deidara-c4,,,MOVE_TO_ULTIMATE,"Named ultimate-scale technique, not a hero.",HIGH
deidara,Edo Tensei,form-deidara-edo-tensei,COSMETIC_SKIN,,,,skin-deidara-edo-tensei,,MOVE_TO_SKIN,Reanimation skin/state.,HIGH
dodai,Lava Rubber Style,form-dodai-lava-rubber-style,COLLECTIBLE_HERO_VERSION,dodai-core,,,,,KEEP_AS_HERO,Base form of proposed hero dodai-core.,HIGH
dodai,Third Raikage Aide,form-dodai-third-raikage-aide,COSMETIC_SKIN,,,,skin-dodai-third-raikage-aide,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
dosu-kinuta,Resonating Echo,form-dosu-kinuta-resonating-echo,SKILL_OR_ULTIMATE,,,legacy-dosu-kinuta-resonating-echo,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
dosu-kinuta,Sound Genin,form-dosu-kinuta-sound-genin,COLLECTIBLE_HERO_VERSION,dosu-kinuta-core,,,,,KEEP_AS_HERO,Base form of proposed hero dosu-kinuta-core.,HIGH
ebisu,Elite Tutor,form-ebisu-elite-tutor,COLLECTIBLE_HERO_VERSION,ebisu-core,,,,,KEEP_AS_HERO,Base form of proposed hero ebisu-core.,HIGH
ebisu,Special Jonin,form-ebisu-special-jonin,COSMETIC_SKIN,,,,skin-ebisu-special-jonin,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
ebizo,Puppet Strategist,form-ebizo-puppet-strategist,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
ebizo,Sand Elder,form-ebizo-sand-elder,COLLECTIBLE_HERO_VERSION,ebizo-core,,,,,KEEP_AS_HERO,Base form of proposed hero ebizo-core.,HIGH
enma,Adamantine Staff,form-enma-adamantine-staff,SKILL_OR_ULTIMATE,,,legacy-enma-adamantine-staff,,,MOVE_TO_SKILL,Summon-specific action/state belongs to technique presentation rather than another summonable unit.,MEDIUM
enma,Monkey King,form-enma-monkey-king,SPECIAL_INDEPENDENT_CHARACTER,,,,,,KEEP_AS_HERO,"Summon creature is retained as special independent combat content, not a normal ninja hero version.",MEDIUM
first-raikage,First Raikage,form-first-raikage-first-raikage,COLLECTIBLE_HERO_VERSION,first-raikage-core,,,,,KEEP_AS_HERO,Base form of proposed hero first-raikage-core.,HIGH
first-raikage,Prime,form-first-raikage-prime,COSMETIC_SKIN,,,,skin-first-raikage-prime,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
fu,Base,form-fu-base,COLLECTIBLE_HERO_VERSION,fu-base,,,,,KEEP_AS_HERO,Base form of proposed hero fu-base.,HIGH
fu,Seven-Tails Cloak,form-fu-seven-tails-cloak,AWAKENING_FORM,,awakening-fu-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of fu-base.,HIGH
fu-yamanaka,Mind Transfer,form-fu-yamanaka-mind-transfer,SKILL_OR_ULTIMATE,,,legacy-fu-yamanaka-mind-transfer,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
fu-yamanaka,Root Operative,form-fu-yamanaka-root-operative,COLLECTIBLE_HERO_VERSION,fu-yamanaka-core,,,,,KEEP_AS_HERO,Base form of proposed hero fu-yamanaka-core.,HIGH
fudo,Earth Body,form-fudo-earth-body,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
fudo,Four-Man Team,form-fudo-four-man-team,COLLECTIBLE_HERO_VERSION,fudo-core,,,,,KEEP_AS_HERO,Base form of proposed hero fudo-core.,HIGH
fuen,Barrier Specialist,form-fuen-barrier-specialist,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
fuen,Four-Man Team,form-fuen-four-man-team,COLLECTIBLE_HERO_VERSION,fuen-core,,,,,KEEP_AS_HERO,Base form of proposed hero fuen-core.,HIGH
fugaku-uchiha,Clan Head,form-fugaku-uchiha-clan-head,COLLECTIBLE_HERO_VERSION,fugaku-uchiha-core,,,,,KEEP_AS_HERO,Base form of proposed hero fugaku-uchiha-core.,HIGH
fugaku-uchiha,Police Captain,form-fugaku-uchiha-police-captain,COSMETIC_SKIN,,,,skin-fugaku-uchiha-police-captain,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
fuguki-suikazan,Reanimated,form-fuguki-suikazan-reanimated,COSMETIC_SKIN,,,,skin-fuguki-suikazan-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
fuguki-suikazan,Samehada Wielder,form-fuguki-suikazan-samehada-wielder,COLLECTIBLE_HERO_VERSION,fuguki-suikazan-core,,,,,KEEP_AS_HERO,Base form of proposed hero fuguki-suikazan-core.,HIGH
fuka,Elemental Kiss,form-fuka-elemental-kiss,SKILL_OR_ULTIMATE,,,legacy-fuka-elemental-kiss,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
fuka,Four-Man Team,form-fuka-four-man-team,COLLECTIBLE_HERO_VERSION,fuka-core,,,,,KEEP_AS_HERO,Base form of proposed hero fuka-core.,HIGH
fukasaku,Sage Training,form-fukasaku-sage-training,SKILL_OR_ULTIMATE,,,legacy-fukasaku-sage-training,,,MOVE_TO_SKILL,Summon-specific action/state belongs to technique presentation rather than another summonable unit.,MEDIUM
fukasaku,Toad Sage,form-fukasaku-toad-sage,SPECIAL_INDEPENDENT_CHARACTER,,,,,,KEEP_AS_HERO,"Summon creature is retained as special independent combat content, not a normal ninja hero version.",MEDIUM
gaara,Genin,form-gaara-genin,COLLECTIBLE_HERO_VERSION,gaara-genin,,,,,KEEP_AS_HERO,Base form of proposed hero gaara-genin.,HIGH
gaara,Kazekage,form-gaara-kazekage,COLLECTIBLE_HERO_VERSION,gaara-kazekage,,,,,KEEP_AS_HERO,Base form of proposed hero gaara-kazekage.,HIGH
gaara,Shukaku Cloak,form-gaara-shukaku-cloak,AWAKENING_FORM,,awakening-gaara-genin,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of gaara-genin.,HIGH
gaara,War Arc,form-gaara-war-arc,COSMETIC_SKIN,,,,skin-gaara-war-arc,,MOVE_TO_SKIN,Era presentation of Kazekage Gaara.,HIGH
gamabunta,Gamabunta Battle,form-gamabunta-gamabunta-battle,SKILL_OR_ULTIMATE,,,legacy-gamabunta-gamabunta-battle,,,MOVE_TO_SKILL,Summon-specific action/state belongs to technique presentation rather than another summonable unit.,MEDIUM
gamabunta,Toad Boss,form-gamabunta-toad-boss,SPECIAL_INDEPENDENT_CHARACTER,,,,,,KEEP_AS_HERO,"Summon creature is retained as special independent combat content, not a normal ninja hero version.",MEDIUM
gamakichi,War Arc Toad,form-gamakichi-war-arc-toad,SKILL_OR_ULTIMATE,,,legacy-gamakichi-war-arc-toad,,,MOVE_TO_SKILL,Summon-specific action/state belongs to technique presentation rather than another summonable unit.,MEDIUM
gamakichi,Young Toad,form-gamakichi-young-toad,SPECIAL_INDEPENDENT_CHARACTER,,,,,,KEEP_AS_HERO,"Summon creature is retained as special independent combat content, not a normal ninja hero version.",MEDIUM
gari,Explosion Release,form-gari-explosion-release,COLLECTIBLE_HERO_VERSION,gari-core,,,,,KEEP_AS_HERO,Base form of proposed hero gari-core.,HIGH
gari,Reanimated,form-gari-reanimated,COSMETIC_SKIN,,,,skin-gari-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
gengetsu-hozuki,Edo Tensei,form-gengetsu-hozuki-edo-tensei,COSMETIC_SKIN,,,,skin-gengetsu-hozuki-edo-tensei,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
gengetsu-hozuki,Second Mizukage,form-gengetsu-hozuki-second-mizukage,COLLECTIBLE_HERO_VERSION,gengetsu-hozuki-core,,,,,KEEP_AS_HERO,Base form of proposed hero gengetsu-hozuki-core.,HIGH
genma-shiranui,Fourth Hokage Guard,form-genma-shiranui-fourth-hokage-guard,COSMETIC_SKIN,,,,skin-genma-shiranui-fourth-hokage-guard,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
genma-shiranui,Special Jonin,form-genma-shiranui-special-jonin,COLLECTIBLE_HERO_VERSION,genma-shiranui-core,,,,,KEEP_AS_HERO,Base form of proposed hero genma-shiranui-core.,HIGH
ginkaku,Nine-Tails Cloak,form-ginkaku-nine-tails-cloak,AWAKENING_FORM,,awakening-ginkaku-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of ginkaku-base.,HIGH
ginkaku,Silver Brother,form-ginkaku-silver-brother,COLLECTIBLE_HERO_VERSION,ginkaku-base,,,,,KEEP_AS_HERO,Base form of proposed hero ginkaku-base.,HIGH
gozu,Chain Gauntlet,form-gozu-chain-gauntlet,SKILL_OR_ULTIMATE,,,legacy-gozu-chain-gauntlet,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
gozu,Demon Brothers,form-gozu-demon-brothers,COLLECTIBLE_HERO_VERSION,gozu-core,,,,,KEEP_AS_HERO,Base form of proposed hero gozu-core.,HIGH
guren,Crystal Release,form-guren-crystal-release,COLLECTIBLE_HERO_VERSION,guren-core,,,,,KEEP_AS_HERO,Base form of proposed hero guren-core.,HIGH
guren,Three-Tails Mission,form-guren-three-tails-mission,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
hagoromo-otsutsuki,Sage of Six Paths,form-hagoromo-otsutsuki-sage-of-six-paths,AWAKENING_FORM,,awakening-hagoromo-young,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of hagoromo-young.,HIGH
hagoromo-otsutsuki,Young,form-hagoromo-otsutsuki-young,COLLECTIBLE_HERO_VERSION,hagoromo-young,,,,,KEEP_AS_HERO,Base form of proposed hero hagoromo-young.,HIGH
haku,Base,form-haku-base,COLLECTIBLE_HERO_VERSION,haku-core,,,,,KEEP_AS_HERO,Base form of proposed hero haku-core.,HIGH
haku,Edo Tensei,form-haku-edo-tensei,COSMETIC_SKIN,,,,skin-haku-edo-tensei,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
hamura-otsutsuki,Tenseigan Legacy,form-hamura-otsutsuki-tenseigan-legacy,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Legacy/title wording is not a documented persistent Hamura transformation.,HIGH
hamura-otsutsuki,Young,form-hamura-otsutsuki-young,COLLECTIBLE_HERO_VERSION,hamura-otsutsuki-core,,,,,KEEP_AS_HERO,Base form of proposed hero hamura-otsutsuki-core.,HIGH
han,Base,form-han-base,COLLECTIBLE_HERO_VERSION,han-base,,,,,KEEP_AS_HERO,Base form of proposed hero han-base.,HIGH
han,Five-Tails Cloak,form-han-five-tails-cloak,AWAKENING_FORM,,awakening-han-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of han-base.,HIGH
hanabi-hyuga,Byakugan Master,form-hanabi-hyuga-byakugan-master,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
hanabi-hyuga,Hyuga Heiress,form-hanabi-hyuga-hyuga-heiress,COLLECTIBLE_HERO_VERSION,hanabi-hyuga-core,,,,,KEEP_AS_HERO,Base form of proposed hero hanabi-hyuga-core.,HIGH
hanzo,Edo Tensei,form-hanzo-edo-tensei,COSMETIC_SKIN,,,,skin-hanzo-edo-tensei,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
hanzo,Prime,form-hanzo-prime,COLLECTIBLE_HERO_VERSION,hanzo-core,,,,,KEEP_AS_HERO,Base form of proposed hero hanzo-core.,HIGH
hashirama-senju,Edo Tensei,form-hashirama-senju-edo-tensei,COSMETIC_SKIN,,,,skin-hashirama-senju-edo-tensei,,MOVE_TO_SKIN,Reanimation is not used as Awakening.,HIGH
hashirama-senju,First Hokage,form-hashirama-senju-first-hokage,COLLECTIBLE_HERO_VERSION,hashirama-hokage,,,,,KEEP_AS_HERO,Base form of proposed hero hashirama-hokage.,HIGH
hashirama-senju,Sage Mode,form-hashirama-senju-sage-mode,AWAKENING_FORM,,awakening-hashirama-hokage,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of hashirama-hokage.,HIGH
hashirama-senju,Warring States,form-hashirama-senju-warring-states,COSMETIC_SKIN,,,,skin-hashirama-senju-warring-states,,MOVE_TO_SKIN,Era appearance of the same wood-style identity.,HIGH
hayate-gekko,Chunin Exams Proctor,form-hayate-gekko-chunin-exams-proctor,COLLECTIBLE_HERO_VERSION,hayate-gekko-core,,,,,KEEP_AS_HERO,Base form of proposed hero hayate-gekko-core.,HIGH
hayate-gekko,Crescent Moon Blade,form-hayate-gekko-crescent-moon-blade,SKILL_OR_ULTIMATE,,,legacy-hayate-gekko-crescent-moon-blade,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
hiashi-hyuga,Clan Head,form-hiashi-hyuga-clan-head,COLLECTIBLE_HERO_VERSION,hiashi-hyuga-core,,,,,KEEP_AS_HERO,Base form of proposed hero hiashi-hyuga-core.,HIGH
hiashi-hyuga,War Arc,form-hiashi-hyuga-war-arc,COSMETIC_SKIN,,,,skin-hiashi-hyuga-war-arc,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
hidan,Akatsuki,form-hidan-akatsuki,COLLECTIBLE_HERO_VERSION,hidan-core,,,,,KEEP_AS_HERO,Base form of proposed hero hidan-core.,HIGH
hidan,Curse Ritual,form-hidan-curse-ritual,SKILL_OR_ULTIMATE,,,legacy-hidan-curse-ritual,,,MOVE_TO_ULTIMATE,"Ritual technique, not a separate hero.",HIGH
hinata-hyuga,Genin,form-hinata-hyuga-genin,COLLECTIBLE_HERO_VERSION,hinata-hyuga-core,,,,,KEEP_AS_HERO,Base form of proposed hero hinata-hyuga-core.,HIGH
hinata-hyuga,Shippuden,form-hinata-hyuga-shippuden,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
hinata-hyuga,War Arc,form-hinata-hyuga-war-arc,COSMETIC_SKIN,,,,skin-hinata-hyuga-war-arc,,MOVE_TO_SKIN,Era appearance of the same Shippuden combat identity.,HIGH
hiruko,Chimera Technique,form-hiruko-chimera-technique,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
hiruko,Missing Nin,form-hiruko-missing-nin,COLLECTIBLE_HERO_VERSION,hiruko-core,,,,,KEEP_AS_HERO,Base form of proposed hero hiruko-core.,HIGH
hiruzen-sarutobi,Edo Tensei,form-hiruzen-sarutobi-edo-tensei,COSMETIC_SKIN,,,,skin-hiruzen-sarutobi-edo-tensei,,MOVE_TO_SKIN,Reanimation skin/state.,HIGH
hiruzen-sarutobi,Prime,form-hiruzen-sarutobi-prime,COLLECTIBLE_HERO_VERSION,hiruzen-prime,,,,,KEEP_AS_HERO,Base form of proposed hero hiruzen-prime.,HIGH
hiruzen-sarutobi,Third Hokage,form-hiruzen-sarutobi-third-hokage,COSMETIC_SKIN,,,,skin-hiruzen-sarutobi-third-hokage,,MOVE_TO_SKIN,Title/era label; Prime hero carries the full combat identity.,HIGH
hizashi-hyuga,Branch House,form-hizashi-hyuga-branch-house,COLLECTIBLE_HERO_VERSION,hizashi-hyuga-core,,,,,KEEP_AS_HERO,Base form of proposed hero hizashi-hyuga-core.,HIGH
hizashi-hyuga,Reanimated,form-hizashi-hyuga-reanimated,COSMETIC_SKIN,,,,skin-hizashi-hyuga-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
ibiki-morino,Interrogation Chief,form-ibiki-morino-interrogation-chief,COLLECTIBLE_HERO_VERSION,ibiki-morino-core,,,,,KEEP_AS_HERO,Base form of proposed hero ibiki-morino-core.,HIGH
